Filename, Title (from PDF XMP metadata)
231084s, A salvo y preparado: guia del alumno sobre la reduccion del riesgo de desastres; 2014
231085s, A salvo y preparado: guia para docentes sobre la reduccion del riesgo de desastres; 2014
231101e, Quality Physical Education (QPE): guidelines for policy makers; 2015
231113e, TVET policy review: Saint Kitts and Nevis; 2014
231132m, From words to action; 2014
231158e, UNESCO's response to Ebola: strategy paper; 2014
231159e, Global bioethics: what for? Twentieth anniversary of UNESCO's Bioethics Programme; 2015
231160e, Technical and vocational teachers and trainers in the Arab region: a review of policies and practices on continuous professional development; 2014
231162e, Fostering freedom online: the role of Internet intermediaries; UNESCO series on internet freedom; 2014
231217e, Asia-Pacific Regional Education Conference; Envisioning education beyond 2015: Asia-Pacific regional perspectives; final report; 2014
231218e," International Conference on Small Island Developing States; 3rd; Underwater cultural heritage and small island developing states: 3rd UN International Conference on Small Island Developing States, (Apia, Samoa, 1-4 September 2014): final report; 2014"
231247s, Guia para realizar una encuesta de I+D: dirigida a los paises que inician sus mediciones de investigacion y desarrollo experimental; Documento tecnico; Vol.:11; 2014
231278f, Le Numerique au service de l'education en Afrique; 2015
231287e, TVET policy review: South Sudan; 2014
231288e, UNESCO education strategy 2014-2021; 2014
231305e, Freedom of expression and public order: training manual; 2015
231397f, Pourquoi une bioetique globale? 20e anniversaire du Programme de bioethique de l'UNESCO; 2015
231426e, Heritage for peace and reconciliation: safeguarding underwater cultural heritage of the First World War;manual for teachers; 2015
231508e, Fixing the broken promise of Education for All: findings from the Global Initiative on Out-of-School Children: executive summary; 2015
231511e, Fixing the broken promise of Education for All: findings from the global initiative on out-of-school children; 2015
231519e," A Complex formula: girls and women in science, technology, engineering and mathematics in Asia; 2015"
231540s, ?Por que una bioetica global? Vigesimo aniversario del Programa de Bioetica de la UNESCO; 2015
